metric,target_metric,correlation
population_2018,population_2018,1
population_2018,surface_area_(km2)_2018,0.733874916
population_2018,gini_index_varies_by_country,0.11107897
population_2018,happy_planet_index_2016,0.184007401
population_2018,happy_planet_index_2019,0.102732291
population_2018,human_development_index_2017,-0.089699068
population_2018,human_development_index_2021,-0.097733103
population_2018,sustainable_economic_development_assessment_(seda)_2018,-0.252179307
population_2018,gdp_growth_(annual_%)_2018,0.122556067
population_2018,gdp_growth_(annual_%)_2021_or_latest_year,0.000753834
population_2018,gdp_($_usd_billions_ppp)_2018,0.713974169
population_2018,gdp_($_usd_billions_ppp)_2019,0.714873611
population_2018,gdp_($_usd_billions_ppp)_2020,0.72330308
population_2018,gdp_($_usd_billions_ppp)_2021,0.694844678
population_2018,gdp_per_capita_in_$_(ppp)_2018,-0.155779087
population_2018,gdp_per_capita_in_$_(ppp)_2019,-0.158938464
population_2018,gdp_per_capita_in_$_(ppp)_2020,-0.140463293
population_2018,gdp_per_capita_in_$_(ppp)_2021,-0.130887228
population_2018,economic_growth_2018,0.092125316
population_2018,economic_growth_2021_or_latest,-0.009207243
population_2018,health_expenditure_%_of_gdp_2014,-0.151680301
population_2018,health_expenditure_%_of_gdp_2015,-0.13841575
population_2018,health_expenditure_%_of_gdp_2016,-0.174474908
population_2018,health_expenditure_%_of_gdp_2017,-0.092655439
population_2018,health_expenditure_%_of_gdp_2018,-0.105205021
population_2018,health_expenditure_%_of_gdp_2019,-0.128946949
population_2018,health_expenditure_%_of_gdp_2020,-0.092224517
population_2018,health_expenditure_%_of_gdp_2021,-0.566713053
population_2018,health_expenditure_%_of_gdp_2021_or_latest,-0.183292587
population_2018,health_expenditure_per_person_2015,-0.158274492
population_2018,health_expenditure_per_person_2018,-0.176172318
population_2018,health_expenditure_per_person_2019,-0.172692562
population_2018,infant_mortality_2020,0.098062102
population_2018,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",0.084375511
population_2018,education_expenditure_%_of_gdp_2014,-0.126232428
population_2018,education_expenditure_%_of_gdp_2018,-0.131181502
population_2018,education_expenditure_%_of_gdp_2021_or_latest_year,-0.217683568
population_2018,education_as_%_of_gdp_2018,-0.133313652
population_2018,education_as_%_of_gdp_2021_or_latest,-0.220876522
population_2018,%_of_primary_school_aged_kids_out_of_school_2018,-0.105885517
population_2018,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,0.048043154
population_2018,unemployment_(%)_2018,-0.233275008
population_2018,unemployment_(%)_2021,-0.20393153
population_2018,%_of_population_in_extreme_poverty_latest_year,0.160355087
population_2018,%_of_population_with_access_to_electricity_2020,-0.078413746
population_2018,political_rights_score__2018,-0.147658497
population_2018,political_rights_score__2022,-0.174580245
population_2018,civil_liberties_score__2018,-0.184218564
population_2018,civil_liberties_score__2022,-0.217908432
population_2018,political_stability_&_absence_of_violence_2017,-0.437408979
population_2018,political_stability_&_absence_of_violence_2021,-0.451764986
population_2018,government_effectiveness_2017,-0.08758557
population_2018,government_effectiveness_2021,-0.095626792
population_2018,regulatory_quality_2017,-0.128741107
population_2018,regulatory_quality_2021,-0.121797554
population_2018,rule_of_law_2017,-0.151819892
population_2018,rule_of_law_2021,-0.159764748
population_2018,control_of_corruption_2017,-0.214209297
population_2018,control_of_corruption_2021,-0.194731076
population_2018,judicial_effectiveness_score_2018,-0.0683765
population_2018,judicial_effectiveness_score_2022,-0.15367487
population_2018,government_integrity_score_2018,-0.182133392
population_2018,government_integrity_score_2022,-0.170276544
population_2018,overall_economic_freedom_score_2017,-0.107008847
population_2018,overall_economic_freedom_score_2022,-0.164367414
population_2018,financial_freedom_score_2018,-0.080379966
population_2018,financial_freedom_score_2022,-0.05136199
population_2018,government_expenditure_(%_of_gdp)_2018,-0.256688137
population_2018,co2e_emissions_per_capita_2019,-0.095962496
population_2018,share_of_electricity_from_renewables_generation_2015,-0.039798494
population_2018,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.113357073
population_2018,%_of_seats_held_by_women_in_national_parliaments_2017,0.122835328
population_2018,%_of_seats_held_by_women_in_national_parliaments_2018,0.104420343
population_2018,%_of_seats_held_by_women_in_national_parliaments_2021,0.07520925
population_2018,military_spending_as_%_of_gdp_2021,0.022335725
population_2018,military_spending_as_%_of_gdp_2019,0.084476794
surface_area_(km2)_2018,population_2018,0.733874916
surface_area_(km2)_2018,surface_area_(km2)_2018,1
surface_area_(km2)_2018,gini_index_varies_by_country,0.217655373
surface_area_(km2)_2018,happy_planet_index_2016,-0.022003581
surface_area_(km2)_2018,happy_planet_index_2019,-0.089302348
surface_area_(km2)_2018,human_development_index_2017,-0.166127982
surface_area_(km2)_2018,human_development_index_2021,-0.173808405
surface_area_(km2)_2018,sustainable_economic_development_assessment_(seda)_2018,-0.307908447
surface_area_(km2)_2018,gdp_growth_(annual_%)_2018,0.116240068
surface_area_(km2)_2018,gdp_growth_(annual_%)_2021_or_latest_year,-0.099748008
surface_area_(km2)_2018,gdp_($_usd_billions_ppp)_2018,0.483916848
surface_area_(km2)_2018,gdp_($_usd_billions_ppp)_2019,0.483306193
surface_area_(km2)_2018,gdp_($_usd_billions_ppp)_2020,0.492173594
surface_area_(km2)_2018,gdp_($_usd_billions_ppp)_2021,0.470304229
surface_area_(km2)_2018,gdp_per_capita_in_$_(ppp)_2018,-0.184369487
surface_area_(km2)_2018,gdp_per_capita_in_$_(ppp)_2019,-0.190175181
surface_area_(km2)_2018,gdp_per_capita_in_$_(ppp)_2020,-0.174089707
surface_area_(km2)_2018,gdp_per_capita_in_$_(ppp)_2021,-0.169574008
surface_area_(km2)_2018,economic_growth_2018,0.063751181
surface_area_(km2)_2018,economic_growth_2021_or_latest,-0.112174962
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2014,-0.050956004
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2015,-0.044948506
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2016,-0.041562183
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2017,0.012908265
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2018,0.022651307
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2019,-0.016563774
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2020,-0.065263158
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2021,-0.274725275
surface_area_(km2)_2018,health_expenditure_%_of_gdp_2021_or_latest,-0.055790427
surface_area_(km2)_2018,health_expenditure_per_person_2015,-0.193843366
surface_area_(km2)_2018,health_expenditure_per_person_2018,-0.213103054
surface_area_(km2)_2018,health_expenditure_per_person_2019,-0.214791009
surface_area_(km2)_2018,infant_mortality_2020,0.13296575
surface_area_(km2)_2018,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",0.219543854
surface_area_(km2)_2018,education_expenditure_%_of_gdp_2014,0.009031082
surface_area_(km2)_2018,education_expenditure_%_of_gdp_2018,0.029266799
surface_area_(km2)_2018,education_expenditure_%_of_gdp_2021_or_latest_year,-0.005052505
surface_area_(km2)_2018,education_as_%_of_gdp_2018,0.032848615
surface_area_(km2)_2018,education_as_%_of_gdp_2021_or_latest,-0.03316851
surface_area_(km2)_2018,%_of_primary_school_aged_kids_out_of_school_2018,-0.029472106
surface_area_(km2)_2018,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,0.069627078
surface_area_(km2)_2018,unemployment_(%)_2018,-0.038763703
surface_area_(km2)_2018,unemployment_(%)_2021,0.017075863
surface_area_(km2)_2018,%_of_population_in_extreme_poverty_latest_year,0.125932505
surface_area_(km2)_2018,%_of_population_with_access_to_electricity_2020,-0.218169214
surface_area_(km2)_2018,political_rights_score__2018,-0.204667044
surface_area_(km2)_2018,political_rights_score__2022,-0.218016086
surface_area_(km2)_2018,civil_liberties_score__2018,-0.21844615
surface_area_(km2)_2018,civil_liberties_score__2022,-0.246655958
surface_area_(km2)_2018,political_stability_&_absence_of_violence_2017,-0.401803
surface_area_(km2)_2018,political_stability_&_absence_of_violence_2021,-0.446224696
surface_area_(km2)_2018,government_effectiveness_2017,-0.208411776
surface_area_(km2)_2018,government_effectiveness_2021,-0.24022046
surface_area_(km2)_2018,regulatory_quality_2017,-0.256510455
surface_area_(km2)_2018,regulatory_quality_2021,-0.25384159
surface_area_(km2)_2018,rule_of_law_2017,-0.265460184
surface_area_(km2)_2018,rule_of_law_2021,-0.275169076
surface_area_(km2)_2018,control_of_corruption_2017,-0.290028972
surface_area_(km2)_2018,control_of_corruption_2021,-0.285615121
surface_area_(km2)_2018,judicial_effectiveness_score_2018,-0.192673804
surface_area_(km2)_2018,judicial_effectiveness_score_2022,-0.194471982
surface_area_(km2)_2018,government_integrity_score_2018,-0.215816091
surface_area_(km2)_2018,government_integrity_score_2022,-0.239632933
surface_area_(km2)_2018,overall_economic_freedom_score_2017,-0.223346233
surface_area_(km2)_2018,overall_economic_freedom_score_2022,-0.249237471
surface_area_(km2)_2018,financial_freedom_score_2018,-0.163956632
surface_area_(km2)_2018,financial_freedom_score_2022,-0.152728242
surface_area_(km2)_2018,government_expenditure_(%_of_gdp)_2018,-0.163443271
surface_area_(km2)_2018,co2e_emissions_per_capita_2019,-0.106866345
surface_area_(km2)_2018,share_of_electricity_from_renewables_generation_2015,0.040215528
surface_area_(km2)_2018,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.155747227
surface_area_(km2)_2018,%_of_seats_held_by_women_in_national_parliaments_2017,0.116151673
surface_area_(km2)_2018,%_of_seats_held_by_women_in_national_parliaments_2018,0.105429147
surface_area_(km2)_2018,%_of_seats_held_by_women_in_national_parliaments_2021,0.053759605
surface_area_(km2)_2018,military_spending_as_%_of_gdp_2021,0.067876182
surface_area_(km2)_2018,military_spending_as_%_of_gdp_2019,0.111308005
gini_index_varies_by_country,population_2018,0.11107897
gini_index_varies_by_country,surface_area_(km2)_2018,0.217655373
gini_index_varies_by_country,gini_index_varies_by_country,1
gini_index_varies_by_country,happy_planet_index_2016,-0.128600078
gini_index_varies_by_country,happy_planet_index_2019,-0.158770554
gini_index_varies_by_country,human_development_index_2017,-0.433902716
gini_index_varies_by_country,human_development_index_2021,-0.470149392
gini_index_varies_by_country,sustainable_economic_development_assessment_(seda)_2018,-0.497403946
gini_index_varies_by_country,gdp_growth_(annual_%)_2018,0.156484687
gini_index_varies_by_country,gdp_growth_(annual_%)_2021_or_latest_year,-0.03108552
gini_index_varies_by_country,gdp_($_usd_billions_ppp)_2018,-0.163694306
gini_index_varies_by_country,gdp_($_usd_billions_ppp)_2019,-0.170209492
gini_index_varies_by_country,gdp_($_usd_billions_ppp)_2020,-0.171291154
gini_index_varies_by_country,gdp_($_usd_billions_ppp)_2021,-0.188860752
gini_index_varies_by_country,gdp_per_capita_in_$_(ppp)_2018,-0.426134971
gini_index_varies_by_country,gdp_per_capita_in_$_(ppp)_2019,-0.437137638
gini_index_varies_by_country,gdp_per_capita_in_$_(ppp)_2020,-0.442940413
gini_index_varies_by_country,gdp_per_capita_in_$_(ppp)_2021,-0.448495214
gini_index_varies_by_country,economic_growth_2018,-0.078262663
gini_index_varies_by_country,economic_growth_2021_or_latest,-0.028558208
gini_index_varies_by_country,health_expenditure_%_of_gdp_2014,-0.128430818
gini_index_varies_by_country,health_expenditure_%_of_gdp_2015,-0.104492974
gini_index_varies_by_country,health_expenditure_%_of_gdp_2016,-0.084576986
gini_index_varies_by_country,health_expenditure_%_of_gdp_2017,-0.123189495
gini_index_varies_by_country,health_expenditure_%_of_gdp_2018,-0.155761881
gini_index_varies_by_country,health_expenditure_%_of_gdp_2019,0.171798331
gini_index_varies_by_country,health_expenditure_%_of_gdp_2020,0.230978818
gini_index_varies_by_country,health_expenditure_%_of_gdp_2021,0.638300821
gini_index_varies_by_country,health_expenditure_%_of_gdp_2021_or_latest,-0.098080154
gini_index_varies_by_country,health_expenditure_per_person_2015,-0.379998142
gini_index_varies_by_country,health_expenditure_per_person_2018,-0.335385361
gini_index_varies_by_country,health_expenditure_per_person_2019,-0.355397075
gini_index_varies_by_country,infant_mortality_2020,0.071299885
gini_index_varies_by_country,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",0.547768598
gini_index_varies_by_country,education_expenditure_%_of_gdp_2014,-0.118550264
gini_index_varies_by_country,education_expenditure_%_of_gdp_2018,-0.14569328
gini_index_varies_by_country,education_expenditure_%_of_gdp_2021_or_latest_year,0.201223156
gini_index_varies_by_country,education_as_%_of_gdp_2018,-0.166421704
gini_index_varies_by_country,education_as_%_of_gdp_2021_or_latest,0.13252396
gini_index_varies_by_country,%_of_primary_school_aged_kids_out_of_school_2018,0.318759629
gini_index_varies_by_country,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,0.141110315
gini_index_varies_by_country,unemployment_(%)_2018,0.083166357
gini_index_varies_by_country,unemployment_(%)_2021,0.212547426
gini_index_varies_by_country,%_of_population_in_extreme_poverty_latest_year,0.498759581
gini_index_varies_by_country,%_of_population_with_access_to_electricity_2020,-0.442264962
gini_index_varies_by_country,political_rights_score__2018,-0.35387459
gini_index_varies_by_country,political_rights_score__2022,-0.349282775
gini_index_varies_by_country,civil_liberties_score__2018,-0.34121996
