country,iso_country_code_2018,population_2018,surface_area_(km2)_2018,gini_index_varies_by_country,happy_planet_index_2016,happy_planet_index_2019,human_development_index_2017,human_development_index_2021,sustainable_economic_development_assessment_(seda)_2018,gdp_growth_(annual_%)_2018,gdp_growth_(annual_%)_2021_or_latest_year,gdp_($_usd_billions_ppp)_2018,gdp_($_usd_billions_ppp)_2019,gdp_($_usd_billions_ppp)_2020,gdp_($_usd_billions_ppp)_2021,gdp_per_capita_in_$_(ppp)_2018,gdp_per_capita_in_$_(ppp)_2019,gdp_per_capita_in_$_(ppp)_2020,gdp_per_capita_in_$_(ppp)_2021,economic_growth_2018,economic_growth_2021_or_latest,health_expenditure_%_of_gdp_2014,health_expenditure_%_of_gdp_2015,health_expenditure_%_of_gdp_2016,health_expenditure_%_of_gdp_2017,health_expenditure_%_of_gdp_2018,health_expenditure_%_of_gdp_2019,health_expenditure_%_of_gdp_2020,health_expenditure_%_of_gdp_2021,health_expenditure_%_of_gdp_2021_or_latest,health_expenditure_per_person_2015,health_expenditure_per_person_2018,health_expenditure_per_person_2019,infant_mortality_2020,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",education_expenditure_%_of_gdp_2014,education_expenditure_%_of_gdp_2018,education_expenditure_%_of_gdp_2021_or_latest_year,education_as_%_of_gdp_2018,education_as_%_of_gdp_2021_or_latest,%_of_primary_school_aged_kids_out_of_school_2018,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,unemployment_(%)_2018,unemployment_(%)_2021,%_of_population_in_extreme_poverty_latest_year,%_of_population_with_access_to_electricity_2020,political_rights_score__2018,political_rights_score__2022,civil_liberties_score__2018,civil_liberties_score__2022,political_stability_&_absence_of_violence_2017,political_stability_&_absence_of_violence_2021,government_effectiveness_2017,government_effectiveness_2021,regulatory_quality_2017,regulatory_quality_2021,rule_of_law_2017,rule_of_law_2021,control_of_corruption_2017,control_of_corruption_2021,judicial_effectiveness_score_2018,judicial_effectiveness_score_2022,government_integrity_score_2018,government_integrity_score_2022,overall_economic_freedom_score_2017,overall_economic_freedom_score_2022,financial_freedom_score_2018,financial_freedom_score_2022,government_expenditure_(%_of_gdp)_2018,co2e_emissions_per_capita_2019,share_of_electricity_from_renewables_generation_2015,share_of_electricity_from_renewables_generation_2020_or_latest_year,%_of_seats_held_by_women_in_national_parliaments_2017,%_of_seats_held_by_women_in_national_parliaments_2018,%_of_seats_held_by_women_in_national_parliaments_2021,military_spending_as_%_of_gdp_2021,military_spending_as_%_of_gdp_2019
Afghanistan,AFG,36000000,652230,,20.2,29.4,0.498,0.478,,1.5,-2.351100673,75.60041811,78.55760665,76.71063823,,2082.392197,2152.190243,2078.479082,,1.189228128,-2.35,3.695219994,3.255800009,3.511980057,3.373310089,3.199790001,3.213779926,,,3.21,184,69.99860382,65.80603027,60.77764289,638,3.78,3.199790001,,3.199790001,3.213779926,,,8.5,13.28299999,0,97.69999695,12,1,14,9,-2.78,-2.529855251,-1.33,-1.634369612,-1.34,-1.338022232,-1.57,-1.871436119,-1.52,-1.1423769,28.2,,26.2,,51.3,,10,,26.3,0.159824372,0.861,0.828087213,27.7,,27.01612903,,0.012
Albania,ALB,2900000,27398,29,36.8,51,0.785,0.796,53.1,2.6,8.544083251,38.1717938,38.96884504,37.6120939,40.82570251,13498.13817,13999.42397,13632.18654,15646.04152,4.019359685,8.544083251,3.049999952,3.437969923,3.962090015,3.611730099,,3.916650057,3.099999905,,3.92,774,274.914093,,2.4,15,,,3.099999905,,3.1,2.557790041,3.841929913,16.3,11.81900024,0,100,28,28,40,39,0.4,0.109445848,0.08,-0.003363639,0.22,0.192754015,-0.4,-0.256100863,-0.42,-0.555924177,25.4,49.8,39.9,35.6,64.5,66.6,70,70,30.1,1.69224832,1,1,27.9,27.85714286,35.71428571,0.014156359,0.013
Algeria,DZA,41000000,2381740,35.3,33.3,46.5,0.754,0.745,45.8,3.7,3.84779349,491.1451568,496.0566084,470.7577213,488.8715063,11908.53761,12008.26483,11323.31222,12037.48124,1.1,3.84779349,,,7.344359875,6.505380154,5.866350174,6.100359917,,,6.1,1031,256.0094605,248.2058716,11.55134986,112,,5.866350174,6.100359917,5.866350174,6.100359917,0.352499992,0.177000001,11.2,12.70400047,,99.80413055,10,10,25,22,-0.96,-0.876465023,-0.6,-0.620759845,-1.2,-1.17087245,-0.86,-0.816039979,-0.61,-0.614184439,35.2,29.7,29,30.1,44.7,45.8,30,30,42.5,3.977650459,0.003,0.010914781,25.8,25.75757576,8.108108108,0.055925841,0.06
Angola,AGO,30000000,1246700,42.7,,,0.581,0.586,28.4,3,0.700000005,215.1179202,213.6120948,201.8634296,203.2764736,7148.933253,6995.299736,6478.332182,6581.042021,-1.316312102,0.700000005,3.122917652,3.4868958,2.754936457,2.466878891,2.044701338,1.927457333,2.415200233,,2.42,196,87.31073761,71.32600403,8.8,241,,2.044701338,2.415200233,2.044701338,2.415200233,,,6.6,8.529999733,11.9,46.89060974,10,10,16,20,-0.29,-0.710836232,-1.03,-1.059368968,-1.04,-0.662632108,-1.1,-0.952415645,-1.41,-0.655345798,25.4,25.3,18.9,20.6,48.6,52.6,40,40,32.1,0.792137069,0.545,0.682207141,38.2,30.45454545,29.54545455,0.011320598,0.016
Argentina,ARG,44000000,2736690,41.7,35.2,50,0.825,0.842,57.3,1.2,10.26376093,1012.127189,991.6221582,893.4984785,985.2050263,23290.67574,22997.39176,20769.03238,23627.39429,-2.617396463,10.26376093,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.724170208,,,4.72,1390,1127.928467,945.9919434,9.7,39,5.361440182,4.877739906,4.724170208,4.877739906,4.72,0.403450012,0.422470003,6.6,10.90200043,0.3,100,33,35,50,49,0.18,-0.106366642,0.16,-0.356661767,-0.29,-0.618144751,-0.25,-0.462304175,-0.26,-0.400777549,44.5,57.9,32.6,45.1,52.3,50.1,60,60,38.5,3.740650291,0.307,0.270583828,38.9,38.91050584,44.74708171,0.00565318,0.007
Armenia,ARM,3000000,28203,31.5,25.7,54.7,0.755,0.759,51.7,3,5.7,37.53170842,40.38411826,37.39569351,39.52724804,13018.87429,14230.01487,13311.02814,14630.24422,5.2,5.7,2.247240067,2.80591011,2.75812006,2.707590103,2.255870104,2.561850071,2.705670118,,2.71,883,422.2826843,523.9990845,,26,2.247240067,2.255870104,2.705670118,2.255870104,2.705670118,6.905220032,10.47731018,16.8,20.89699936,0.1,100,15,23,30,32,-0.71,-0.83559227,-0.1,-0.249556035,0.28,0.145152628,-0.16,-0.095904246,-0.56,0.072149873,47.4,33.1,40.5,50.8,68.7,65.3,70,70,25.8,2.086060678,0.296,0.245734776,18.1,18.0952381,33.64485981,0.044401211,0.049
Australia,AUS,25000000,7682300,30.3,21.2,43.1,0.939,0.951,78.9,2.5,1.475162883,1224.878851,1250.762371,1250.714385,1269.164459,50169.18729,51748.39772,53316.88543,55807.44402,2.87097248,1.475162883,5.164690018,5.315839767,5.286230087,5.136809826,5.123449802,,,,5.12,4492,5364.542969,5427.462402,3,6,5.192669868,5.123449802,,5.123449802,,0.428380013,1.456110001,5.7,5.111999989,0.4,100,40,39,58,56,0.9,0.850988686,1.54,1.512928247,1.93,1.83872807,1.68,1.674290538,1.8,1.73749423,93.4,95.2,77.4,87,80.9,77.7,90,90,36,15.23826715,0.144,0.246299972,28.7,28.66666667,31.12582781,0.019784225,0.019
Austria,AUT,9000000,82445,30.5,30.5,46.8,0.908,0.916,80.3,0.9,4.483969206,488.5127895,495.7975453,462.4079898,483.1422217,56960.09143,58076.3488,55685.97029,58427.49569,2.501595119,4.483969206,5.447619915,5.456580162,5.47961998,5.371590137,5.224520206,,,,5.22,5138,5322.262695,5242.183105,17.3,5,5.448979855,5.224520206,,5.224520206,,0.043699998,0.056230001,6.1,6.301000118,0.5,100,37,37,57,56,1.04,0.914891124,1.46,1.570008159,1.44,1.348706007,1.81,1.788035512,1.53,1.271236777,80.9,94.6,73.5,82.9,71.8,73.8,70,70,51.8,7.293984252,0.8,0.839327976,30.6,34.42622951,40.43715847,0.008021217,0.007
Azerbaijan,AZE,10000000,82629,33.7,,48,0.757,0.745,51.1,1.1,5.600037273,141.2401021,144.7711047,138.5459471,146.3045718,14549.0619,15051.56128,14478.52445,15842.88951,1.5,5.600037273,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,2.681080103,,,2.46,1191,168.3916473,193.1088409,38.6,26,2.633039951,2.455430031,2.681080103,2.455430031,2.681080103,3.894190073,10.46286011,5.1,6.583000183,,100,3,2,9,7,-0.76,-0.853478372,-0.16,0.247684523,-0.25,-0.059605457,-0.56,-0.584836721,-0.88,-0.827584863,36.8,15.9,39.9,28.6,64.3,61.6,60,60,36.8,3.542397828,0.078,0.122657472,16.8,16.8,18.18181818,0.05270059,0.04
Bahamas,BHS,400000,10010,,,,0.807,0.812,60.4,0.5,13.71973494,13.96025536,14.22496465,10.83620714,12.32290604,37065.53445,38063.81604,29064.7595,34107.84983,1.831007794,13.71973494,2.5,2.249901056,2.331181526,2.42276907,2.249673843,2.288417339,2.371343613,2.782222271,2.78,1699,2002.412964,2004.616333,4.9,70,,2.249673843,2.782222271,2.249673843,2.782222271,,,15.3,13.23900032,,100,38,38,53,53,1,0.876719475,0.58,0.461800665,0.12,0.064141877,0.19,0.102244459,1.17,1.18,53.5,78.8,50.9,64.3,63.3,68.7,60,60,23.8,7.291661097,0,0.000294171,12.8,12.82051282,17.94871795,,
