country,iso_country_code_2018,metric,value
Afghanistan,AFG,population_2018,36000000
Afghanistan,AFG,surface_area_(km2)_2018,652230
Afghanistan,AFG,happy_planet_index_2016,20.2
Afghanistan,AFG,happy_planet_index_2019,29.4
Afghanistan,AFG,human_development_index_2017,0.498
Afghanistan,AFG,human_development_index_2021,0.478
Afghanistan,AFG,gdp_growth_(annual_%)_2018,1.5
Afghanistan,AFG,gdp_growth_(annual_%)_2021_or_latest_year,-2.351100673
Afghanistan,AFG,gdp_($_usd_billions_ppp)_2018,75.60041811
Afghanistan,AFG,gdp_($_usd_billions_ppp)_2019,78.55760665
Afghanistan,AFG,gdp_($_usd_billions_ppp)_2020,76.71063823
Afghanistan,AFG,gdp_per_capita_in_$_(ppp)_2018,2082.392197
Afghanistan,AFG,gdp_per_capita_in_$_(ppp)_2019,2152.190243
Afghanistan,AFG,gdp_per_capita_in_$_(ppp)_2020,2078.479082
Afghanistan,AFG,economic_growth_2018,1.189228128
Afghanistan,AFG,economic_growth_2021_or_latest,-2.35
Afghanistan,AFG,health_expenditure_%_of_gdp_2014,3.695219994
Afghanistan,AFG,health_expenditure_%_of_gdp_2015,3.255800009
Afghanistan,AFG,health_expenditure_%_of_gdp_2016,3.511980057
Afghanistan,AFG,health_expenditure_%_of_gdp_2017,3.373310089
Afghanistan,AFG,health_expenditure_%_of_gdp_2018,3.199790001
Afghanistan,AFG,health_expenditure_%_of_gdp_2019,3.213779926
Afghanistan,AFG,health_expenditure_%_of_gdp_2021_or_latest,3.21
Afghanistan,AFG,health_expenditure_per_person_2015,184
Afghanistan,AFG,health_expenditure_per_person_2018,69.99860382
Afghanistan,AFG,health_expenditure_per_person_2019,65.80603027
Afghanistan,AFG,infant_mortality_2020,60.77764289
Afghanistan,AFG,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",638
Afghanistan,AFG,education_expenditure_%_of_gdp_2014,3.78
Afghanistan,AFG,education_expenditure_%_of_gdp_2018,3.199790001
Afghanistan,AFG,education_as_%_of_gdp_2018,3.199790001
Afghanistan,AFG,education_as_%_of_gdp_2021_or_latest,3.213779926
Afghanistan,AFG,unemployment_(%)_2018,8.5
Afghanistan,AFG,unemployment_(%)_2021,13.28299999
Afghanistan,AFG,%_of_population_in_extreme_poverty_latest_year,0
Afghanistan,AFG,%_of_population_with_access_to_electricity_2020,97.69999695
Afghanistan,AFG,political_rights_score__2018,12
Afghanistan,AFG,political_rights_score__2022,1
Afghanistan,AFG,civil_liberties_score__2018,14
Afghanistan,AFG,civil_liberties_score__2022,9
Afghanistan,AFG,political_stability_&_absence_of_violence_2017,-2.78
Afghanistan,AFG,political_stability_&_absence_of_violence_2021,-2.529855251
Afghanistan,AFG,government_effectiveness_2017,-1.33
Afghanistan,AFG,government_effectiveness_2021,-1.634369612
Afghanistan,AFG,regulatory_quality_2017,-1.34
Afghanistan,AFG,regulatory_quality_2021,-1.338022232
Afghanistan,AFG,rule_of_law_2017,-1.57
