country,iso_country_code_2018,metric,value,metric_type,latest,metric_no_year,ranking,metric_rank,country_strengths_order,country_weaknesses_order,country_strengths_order_by_broad_metric,country_weaknesses_order_by_broad_metric
Afghanistan,AFG,population_2018,36000000.0,descriptive,1,population,high,39.0,1.0,2.0,1.0,2.0
Albania,ALB,population_2018,2900000.0,descriptive,1,population,high,136.0,2.0,2.0,2.0,2.0
Algeria,DZA,population_2018,41000000.0,descriptive,1,population,high,34.0,2.0,2.0,2.0,2.0
Angola,AGO,population_2018,30000000.0,descriptive,1,population,high,46.0,2.0,2.0,2.0,2.0
Argentina,ARG,population_2018,44000000.0,descriptive,1,population,high,32.0,2.0,2.0,2.0,2.0
Armenia,ARM,population_2018,3000000.0,descriptive,1,population,high,134.0,2.0,2.0,2.0,2.0
Australia,AUS,population_2018,25000000.0,descriptive,1,population,high,52.0,2.0,2.0,2.0,2.0
Austria,AUT,population_2018,9000000.0,descriptive,1,population,high,94.0,1.0,3.0,1.0,3.0
Azerbaijan,AZE,population_2018,10000000.0,descriptive,1,population,high,88.0,1.0,3.0,1.0,3.0
Bahamas,BHS,population_2018,400000.0,descriptive,1,population,high,168.0,2.0,1.0,2.0,1.0
Bahrain,BHR,population_2018,1300000.0,descriptive,1,population,high,151.0,1.0,2.0,1.0,2.0
Bangladesh,BGD,population_2018,165000000.0,descriptive,1,population,high,8.0,1.0,3.0,1.0,3.0
Barbados,BRB,population_2018,300000.0,descriptive,1,population,high,173.0,2.0,1.0,2.0,1.0
Belarus,BLR,population_2018,10000000.0,descriptive,1,population,high,88.0,2.0,2.0,2.0,2.0
Belgium,BEL,population_2018,11000000.0,descriptive,1,population,high,79.0,1.0,3.0,1.0,3.0
Belize,BLZ,population_2018,400000.0,descriptive,1,population,high,168.0,2.0,1.0,2.0,1.0
Benin,BEN,population_2018,11000000.0,descriptive,1,population,high,79.0,1.0,3.0,1.0,3.0
Bhutan,BTN,population_2018,800000.0,descriptive,1,population,high,158.0,3.0,1.0,3.0,1.0
Bolivia,BOL,population_2018,11000000.0,descriptive,1,population,high,79.0,3.0,1.0,3.0,1.0
Bosnia and Herzegovina,BIH,population_2018,3900000.0,descriptive,1,population,high,129.0,3.0,1.0,3.0,1.0
Botswana,BWA,population_2018,2200000.0,descriptive,1,population,high,141.0,3.0,1.0,3.0,1.0
Brazil,BRA,population_2018,209000000.0,descriptive,1,population,high,5.0,1.0,2.0,1.0,2.0
Brunei,BRN,population_2018,400000.0,descriptive,1,population,high,168.0,2.0,1.0,2.0,1.0
Bulgaria,BGR,population_2018,7000000.0,descriptive,1,population,high,103.0,3.0,1.0,3.0,1.0
Burkina Faso,BFA,population_2018,19000000.0,descriptive,1,population,high,60.0,1.0,3.0,1.0,3.0
Burundi,BDI,population_2018,11000000.0,descriptive,1,population,high,79.0,2.0,2.0,2.0,2.0
Cabo Verde,CPV,population_2018,500000.0,descriptive,1,population,high,167.0,2.0,1.0,2.0,1.0
Cambodia,KHM,population_2018,16000000.0,descriptive,1,population,high,71.0,1.0,3.0,1.0,3.0
Cameroon,CMR,population_2018,24000000.0,descriptive,1,population,high,54.0,3.0,1.0,3.0,1.0
Canada,CAN,population_2018,37000000.0,descriptive,1,population,high,38.0,2.0,2.0,2.0,2.0
Central African Republic,CAF,population_2018,4900000.0,descriptive,1,population,high,118.0,3.0,1.0,3.0,1.0
Chad,TCD,population_2018,15000000.0,descriptive,1,population,high,73.0,3.0,1.0,3.0,1.0
Chile,CHL,population_2018,18000000.0,descriptive,1,population,high,63.0,3.0,1.0,3.0,1.0
China,CHN,population_2018,1386000000.0,descriptive,1,population,high,1.0,1.0,3.0,1.0,3.0
Colombia,COL,population_2018,49000000.0,descriptive,1,population,high,29.0,3.0,1.0,3.0,1.0
Comoros,COM,population_2018,800000.0,descriptive,1,population,high,158.0,2.0,2.0,2.0,2.0
Congo (Dem. Rep.),COD,population_2018,81000000.0,descriptive,1,population,high,17.0,2.0,2.0,2.0,2.0
Congo (Rep.),COG,population_2018,4500000.0,descriptive,1,population,high,123.0,3.0,1.0,3.0,1.0
Costa Rica,CRI,population_2018,4900000.0,descriptive,1,population,high,118.0,2.0,2.0,2.0,2.0
Cote d'Ivoire,CIV,population_2018,24000000.0,descriptive,1,population,high,54.0,1.0,2.0,1.0,2.0
Croatia,HRV,population_2018,4200000.0,descriptive,1,population,high,125.0,3.0,1.0,3.0,1.0
Cuba,CUB,population_2018,11000000.0,descriptive,1,population,high,79.0,1.0,2.0,1.0,2.0
Cyprus,CYP,population_2018,800000.0,descriptive,1,population,high,158.0,2.0,2.0,2.0,2.0
Czech Republic,CZE,population_2018,11000000.0,descriptive,1,population,high,79.0,1.0,2.0,1.0,2.0
Denmark,DNK,population_2018,6000000.0,descriptive,1,population,high,107.0,1.0,3.0,1.0,3.0
Djibouti,DJI,population_2018,1000000.0,descriptive,1,population,high,156.0,3.0,1.0,3.0,1.0
Dominican Republic,DOM,population_2018,11000000.0,descriptive,1,population,high,79.0,2.0,2.0,2.0,2.0
